nombre,sku,categoria,precio,costo,stock,stock_minimo,imagen
Laptop HP Pavilion,LP001,Computadores,2500000,2000000,5,2,https://images.pexels.com/photos/205421/pexels-photo-205421.jpeg
Mouse Logitech,MS001,Accesorios,80000,60000,25,10,
Teclado Mecánico,KB001,Accesorios,150000,120000,15,5,
Monitor 24",MN001,Monitores,800000,650000,8,3,
Auriculares Bluetooth,AU001,Audio,200000,150000,12,4,
Webcam HD,WC001,Accesorios,120000,90000,10,3,
Tablet Samsung,TB001,Tablets,600000,480000,6,2,
Impresora Láser,PR001,Impresoras,450000,350000,4,1,
Disco Duro Externo 1TB,HD001,Almacenamiento,180000,140000,20,5,
Memoria USB 32GB,USB001,Almacenamiento,35000,25000,50,15,
Cable HDMI 2m,CB001,Cables,25000,18000,30,10,
Adaptador USB-C,AD001,Adaptadores,45000,32000,15,5,
Mousepad Gaming,MP001,Accesorios,40000,28000,20,8,
Cargador Universal,CH001,Cargadores,60000,42000,12,4,
Parlantes Bluetooth,SP001,Audio,180000,135000,8,3,